Time,SS_22_State_St__North_Side,SS_23_State_St__South_Side,F200_State_St____Goodman_s,F200_State_St____Art_Center,F341_State_St_,F344_State_St_
2020-06-01,2850,3091,2130,2260,3406.0,379836
2020-06-02,2838,2527,1299,2157,2935.0,380412
2020-06-03,3179,2835,1179,2540,2830.0,380988
2020-06-04,3187,2729,1071,2596,3559.0,381564
2020-06-05,2937,2616,879,2690,3596.0,382140
2020-06-06,4388,3828,1859,4290,5324.0,382716
2020-06-07,4288,4072,2394,4428,6041.0,383292
2020-06-08,2488,2044,887,2289,3091.0,383868
2020-06-09,1388,739,561,582,1500.0,384444
2020-06-10,1440,1048,876,1096,1658.0,385020
2020-06-11,2732,2462,1946,2700,3366.0,385596
2020-06-12,3868,3022,1757,3528,4391.0,386172
2020-06-13,5020,4229,3417,5217,6355.0,386748
2020-06-14,4563,3583,2978,4022,5037.0,387324
2020-06-15,2429,2020,1720,2230,3137.0,387900
2020-06-16,2442,2175,1512,2345,3229.0,388476
2020-06-17,2340,1913,1092,1942,2973.0,389052
2020-06-18,2270,1882,909,1683,2846.0,389628
2020-06-19,2763,2326,1082,2087,4055.0,390204
2020-06-20,3329,2255,1521,1968,3506.0,390780
2020-06-21,2953,2766,1595,2600,3913.0,391356
2020-06-22,1288,746,709,826,1351.0,391932
2020-06-23,2206,1669,1500,1820,2544.0,392508
2020-06-24,2253,1823,1440,1903,2604.0,393084
2020-06-25,2341,1908,1361,1864,2657.0,393660
2020-06-26,1900,1316,1111,1186,1907.0,394236
2020-06-27,3306,2782,1440,2679,4226.0,394812
2020-06-28,2220,1563,775,1128,2880.0,395388
2020-06-29,1177,797,684,759,1247.0,395964
2020-06-30,1647,1109,709,1037,2015.0,396540
